dataset_name,subject,side_label_name,pattern_label,window_count,side_coeff,side_entropy,basis_usage_b8,basis_usage_b9,basis_usage_b10,basis_activation_b9,basis_activation_b10,free_l1_dominant_basis,side_dominant_basis,metric,direction,rank,free_l1_b5_minus_b6
IMR,533,Normal,normal_like_b9_b10_negative,1,-22.290189743041992,0.694053643943106,0.0081310970708727,0.3548720479011535,0.6369968056678772,-7.910165309906006,-14.198780059814451,5,10,basis_activation_b10,bottom,8,
IMR,535,Normal,normal_like_b9_b10_negative,1,-22.976186752319336,0.7037981702847644,0.0068966820836067,0.3839361071586609,0.609167218208313,-8.82138729095459,-13.996339797973633,5,10,basis_activation_b10,bottom,9,
IMR,250,Normal,normal_like_b9_b10_negative,1,-22.627445220947266,0.6998988134106541,0.0070478376001119,0.3744364380836487,0.61851567029953,-8.472539901733398,-13.995429039001465,5,10,basis_activation_b10,bottom,10,
IMR,406,Right,mixed_or_boundary,1,2.444987535476685,0.8837018188609387,0.1564819514751434,0.1899360865354538,0.653581976890564,0.4643913507461548,1.5979998111724854,5,10,basis_activation_b9,top,1,
IMR,382,Left,mixed_or_boundary,1,4.917235374450684,0.49492248577530956,0.0505827590823173,0.0887011215090751,0.8607161045074463,0.4361642897129059,4.232343673706055,5,10,basis_activation_b9,top,2,
IMR,381,Normal,mixed_or_boundary,1,3.04337215423584,0.6523880985203013,0.0749601498246193,0.1359396576881408,0.789100170135498,0.4137149751186371,2.4015254974365234,6,10,basis_activation_b9,top,3,
TT,861636,Left,mixed_or_boundary,3,5.7519153753916425,0.4620680454226519,0.04992748362322643,0.07556223496794696,0.8745102683703104,0.3800267279148102,5.1318849722544355,6,10,basis_activation_b9,top,4,
TT,845372,Left,mixed_or_boundary,3,6.441288948059082,0.3630337935924957,0.03249055892229077,0.05810318887233729,0.9094062050183614,0.3585487902164459,5.884377797444661,5,10,basis_activation_b9,top,5,
IMR,324,Right,right_like_diffuse_low_coeff,1,1.4029279947280884,1.00968299695274,0.2226904183626175,0.2386834472417831,0.5386261343955994,0.3348556756973266,0.7556536793708801,5,10,basis_activation_b9,top,6,
IMR,254,Left,mixed_or_boundary,1,6.647091388702393,0.2996005497043072,0.0240471847355365,0.0462614297866821,0.9296913743019104,0.3075039386749267,6.17974328994751,5,10,basis_activation_b9,top,7,
TT,497749,Left,mixed_or_boundary,7,7.467149496078491,0.3488649503349181,0.03393207252624307,0.05137050424569417,0.9146974342209953,0.26573545113205904,7.0435539994921,6,10,basis_activation_b9,top,8,
IMR,298,Right,right_like_diffuse_low_coeff,1,1.012699007987976,1.039721738891409,0.239984855055809,0.2606320679187774,0.4993830323219299,0.2639418244361877,0.5057247281074524,6,10,basis_activation_b9,top,9,
TT,850238,Left,mixed_or_boundary,5,8.126625394821167,0.35207386515383954,0.03453516749432306,0.05179759850725528,0.9136672139167785,0.26161145642399786,7.702522325515747,6,10,basis_activation_b9,top,10,
IMR,275,Normal,normal_like_b9_b10_negative,1,-27.435178756713867,0.6950829488083845,0.0027380250394344,0.4122033417224884,0.5850586295127869,-11.30887222290039,-16.05118751525879,5,10,basis_activation_b9,bottom,1,
IMR,257,Normal,normal_like_b9_b10_negative,1,-26.4040584564209,0.7026027180445114,0.003206550842151,0.4281392395496368,0.5686542391777039,-11.30461311340332,-15.014780044555664,5,10,basis_activation_b9,bottom,2,
IMR,357,Normal,normal_like_b9_b10_negative,1,-24.93918800354004,0.7095612338739143,0.0042408863082528,0.4346719086170196,0.5610872507095337,-10.840364456176758,-13.993060111999512,5,10,basis_activation_b9,bottom,3,
